date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:56	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2010%20Sep%202022%2004:50:53%20GMT	http://htmlbeans.com/robots.txt		(from )
10:50:56	36699/36699	---M-Z	200	added ('OK')	text/html	etag:%228f5b-559f90bf6b680-gzip%22	http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/index04b9.html	(from )
10:50:56	59839/59839	---M-Z	200	added ('OK')	text/css	etag:%22e9bf-559f90d095f00-gzip%22	http://htmlbeans.com/html/eagleeyes/css/animate.css	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/css/animate.css	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:57	159209/159209	---M-Z	200	added ('OK')	text/css	etag:%2226de9-559f90ceada80-gzip%22	http://htmlbeans.com/html/eagleeyes/css/bootstrap.css	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/css/bootstrap.css	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:57	28763/28763	---M-Z	200	added ('OK')	text/css	etag:%22705b-559f90ccc5600-gzip%22	http://htmlbeans.com/html/eagleeyes/css/font-awesome.min.css	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/css/font-awesome.min.css	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:58	105695/105695	---M-Z	200	added ('OK')	text/css	etag:%2219cdf-559f90b7ca480-gzip%22	http://htmlbeans.com/html/eagleeyes/style.css	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/style.css	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:58	46/46	---M--	200	added ('OK')	text/css	etag:%222e-559f90ccc5600%22	http://htmlbeans.com/html/eagleeyes/css/fonts.css	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/css/fonts.css	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:58	32907/32907	---M-Z	200	added ('OK')	text/css	etag:%22808b-559f90cadd180-gzip%22	http://htmlbeans.com/html/eagleeyes/css/responsive.css	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/css/responsive.css	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:59	2753/2753	---M-Z	200	added ('OK')	text/css	etag:%22ac1-559f90da1f580-gzip%22	http://htmlbeans.com/html/eagleeyes/css/color/color.css	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/css/color/color.css	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:59	2509/2509	---M--	200	added ('OK')	image/svg+xml	etag:%229cd-559f911910a00%22	http://htmlbeans.com/html/eagleeyes/images/logo.svg	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/images/logo.svg	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:59	36699/36699	---M-Z	200	added ('OK')	text/html	etag:%228f5b-559f90bf6b680-gzip%22	http://htmlbeans.com/html/eagleeyes/index.html	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/index.html	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:50:59	33854/33854	---M-Z	200	added ('OK')	text/html	etag:%22843e-559f90bf6b680-gzip%22	http://htmlbeans.com/html/eagleeyes/index2.html	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/index2.html	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:51:00	18274/18274	---M-Z	200	added ('OK')	text/html	etag:%224762-559f90b9b2900-gzip%22	http://htmlbeans.com/html/eagleeyes/portfolio.html	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/portfolio.html	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:51:00	16703/16703	---M-Z	200	added ('OK')	text/html	etag:%22413f-559f90bb9ad80-gzip%22	http://htmlbeans.com/html/eagleeyes/portfolio-grid.html	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/portfolio-grid.html	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:51:00	17458/17458	---M-Z	200	added ('OK')	text/html	etag:%224432-559f90bd83200-gzip%22	http://htmlbeans.com/html/eagleeyes/portfolio-2grid.html	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/portfolio-2grid.html	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:51:00	19744/19744	---M-Z	200	added ('OK')	text/html	etag:%224d20-559f90bd83200-gzip%22	http://htmlbeans.com/html/eagleeyes/portfolio-3grid.html	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/portfolio-3grid.html	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:51:00	15282/15282	---M-Z	200	added ('OK')	text/html	etag:%223bb2-559f90bb9ad80-gzip%22	http://htmlbeans.com/html/eagleeyes/portfolio-detail.html	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/portfolio-detail.html	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
10:51:01	17342/17342	---M-Z	200	added ('OK')	text/html	etag:%2243be-559f90c524400-gzip%22	http://htmlbeans.com/html/eagleeyes/blog.html	C:/Users/User/Documents/tamplate/htmlbeans.com/html/eagleeyes/blog.html	(from http://htmlbeans.com/html/eagleeyes/?storefront=envato-elements)
